,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
2979,300239,东宝生物,0.02,-88.56,1.72,1.42,-0.06,488.81,-88.54,,02-10,20110706.0,5.643,5.474,-2.9948608896,273.7,3.18255813953,29.5639775148
943,600648,外高桥,0.64,18.52,,9.84,,69798.1,28.18,10派1.9,04-30,19930504.0,31.299,31.612,1.0000319499,49.39375,,28.1790996806
42,000683,远兴能源,0.15,275.0,,4.22,,20805.64,673.42,10派0.2,04-02,19970131.0,2.216,2.754,24.2779783394,18.36,,27.7378944237
3275,002199,东晶电子,-0.74,-535.29,,-25.47,,-15265.97,-578.62,,03-18,20071221.0,12.32,9.7,-21.2662337662,-13.1081081081,,27.2083908397
20,600326,西藏天路,0.12,1100.0,,5.8,,6370.52,1207.6,10派0.5,04-08,20010116.0,4.684,6.765,44.4278394535,56.375,,27.1811552138
3,002180,纳思达,0.59,1866.67,,38.55,,20227.76,5123.89,,04-01,20071113.0,4.607,13.396,190.774907749,22.7050847458,,26.8583015474
3003,000809,*ST新城,0.05,-96.12,,0.83,,2877.18,-95.94,,04-30,19980616.0,6.994,6.744,-3.57449242208,134.88,,26.8401744
3231,600598,北大荒,0.45,-314.29,,15.14,,79980.75,-312.27,10派3.9,03-31,20020329.0,10.454,9.16,-12.378037115,20.3555555556,,25.2277479134
26,603077,和邦生物,0.69,392.86,,16.17,,67176.3,942.51,,03-20,20120731.0,1.048,1.457,39.0267175573,2.1115942029,,24.1503784841
3208,000731,四川美丰,-0.41,-238.54,,-8.73,,-24450.14,-243.61,,03-26,19970617.0,9.798,8.79,-10.2878138396,-21.4390243902,,23.6794720237
3240,002477,雏鹰农牧,-0.2,-329.72,,-6.98,,-18945.99,-350.54,,04-24,20100915.0,3.367,2.862,-14.9985149985,-14.31,,23.3716471287
43,600367,红星发展,0.09,800.0,4.2,2.08,,2516.41,670.98,10派0.26,04-03,20010320.0,8.395,11.02,31.2686122692,122.444444444,2.62380952381,21.4585794286
2129,002507,涪陵榨菜,0.66,-27.47,,12.12,,13199.3,-6.15,,03-28,20101123.0,7.365,7.343,-0.298710115411,11.1257575758,,20.5885227273
51,000546,金圆股份,0.3,147.7,,13.08,,12966.21,529.07,,03-10,19931215.0,5.792,7.292,25.8977900552,24.3066666667,,20.4291562667
40,600696,*ST匹凸,0.21,703.85,,12.69,,7107.63,705.1,,04-29,19931206.0,6.06,8.16,34.6534653465,38.8571428571,,20.3471714286
2616,002620,瑞和股份,0.46,-31.34,,5.48,,5479.33,-32.34,,04-25,20110929.0,6.639,6.533,-1.59662599789,14.202173913,,20.2552132076
86,600608,*ST沪科,-0.04,300.0,,,,-1256.51,300.21,,04-28,19920327.0,6.07,6.97,14.8270181219,-174.25,,20.2474966667
3011,600257,大湖股份,0.0,-98.95,,0.21,,160.16,-98.96,,04-29,20000612.0,7.458,7.089,-4.9477071601,inf,,20.0011837398
680,002138,顺络电子,0.6,27.66,,11.85,,21281.27,41.14,,02-27,20070613.0,8.344,8.525,2.16922339406,14.2083333333,,18.9653127071
195,600300,维维股份,0.12,140.0,,7.95,,20064.26,148.97,10派0.2,03-21,20000630.0,4.674,5.048,8.00171159606,42.0666666667,,18.6172668449
2735,002286,保龄宝,0.06,-76.0,,1.66,,2392.24,-42.95,,04-28,20090828.0,8.024,7.835,-2.3554336989,130.583333333,,18.2344338625
840,002380,科远股份,0.42,-10.64,,4.59,,4252.93,32.03,,02-14,20100331.0,11.337,11.541,1.79941783541,27.4785714286,,17.8002014706
19,600584,长电科技,0.18,1700.0,,5.59,,15666.65,1308.59,10派0.1,03-25,20030603.0,6.382,11.112,74.114697587,61.7333333333,,17.6562819873
2974,000573,粤宏远A,0.02,-88.04,,0.88,,1401.45,-88.04,,04-16,19940815.0,5.117,4.861,-5.00293140512,243.05,,17.5976828125
1463,600551,时代出版,0.77,12.47,,11.1,,38990.45,12.47,10派2.32,04-07,20020905.0,15.747,15.859,0.711246586651,20.5961038961,,17.5325973214
2508,300035,中科电气,0.23,-42.5,3.64,6.37,0.03,5329.03,-25.6,,04-25,20091225.0,4.105,4.044,-1.48599269184,17.5826086957,1.11098901099,17.2275409836
95,300008,天海防务,0.18,234.55,3.33,6.6,-0.09,4591.5,283.03,,03-28,20091030.0,4.038,4.713,16.7161961367,26.1833333333,1.41531531532,16.9314835556
97,600644,乐山电力,-3.0,228.29,,-406.45,,-113931.49,281.56,,03-28,19930426.0,8.07,9.44,16.9764560099,-3.14666666667,,16.5853226278
27,002555,三七互娱,0.25,733.33,,4.21,,3821.34,938.08,,03-31,20110302.0,4.999,7.853,57.0914182837,31.412,,16.4311910301
250,300077,国民技术,0.04,100.0,9.97,0.37,-0.12,1014.96,116.64,10派0.15,04-09,20100430.0,12.395,13.287,7.19645018152,332.175,1.33269809428,16.2079910314
2619,002674,兴业科技,0.49,-33.09,,7.6,,11995.24,-32.41,,03-25,20120507.0,12.673,12.419,-2.00426102738,25.3448979592,,16.1705484252
3092,600228,*ST昌九,0.14,-117.28,,,,3498.84,-117.98,,03-12,19990119.0,11.6,10.75,-7.3275862069,76.7857142857,,16.1008
3219,002506,协鑫集成,1.07,-162.21,,-90.1,,269431.62,-285.54,,04-29,20101118.0,1.488,1.22,-18.0107526882,1.14018691589,,15.8538626865
131,600810,神马股份,0.14,207.64,,2.51,,6053.07,207.55,,04-25,19940106.0,6.33,7.21,13.9020537125,51.5,,14.9294488636
118,300042,朗科科技,0.15,238.29,6.23,2.44,0.0,2006.85,238.46,,03-31,20100108.0,11.842,13.743,16.0530315825,91.62,2.20593900482,14.8545150973
738,000826,启迪桑德,0.96,4.95,,16.82,,80395.33,37.28,10派1,03-16,19980225.0,26.338,27.001,2.51727541955,28.1260416667,,14.8096627451
120,300190,维尔利,0.59,227.78,8.51,8.38,0.23,9606.95,232.63,,03-14,20110316.0,10.895,12.615,15.7870582836,21.3813559322,1.48237367803,14.7354875
977,300075,数字政通,0.63,-16.0,6.0,10.96,-0.31,11905.78,26.61,,04-22,20100427.0,12.396,12.62,1.80703452727,20.0317460317,2.10333333333,14.7257839285
74,600851,海欣股份,0.24,344.65,,6.99,,29093.29,344.9,10派1,04-30,19940404.0,6.927,8.551,23.4444925653,35.6291666667,,14.7113442118
1223,300124,汇川技术,0.85,-40.97,4.43,20.55,0.67,66631.65,18.94,,03-20,20100928.0,13.861,14.043,1.31303657745,16.5211764706,3.16997742664,14.4245791209
2419,600406,国电南瑞,0.53,-19.7,,19.4,,128305.94,-19.82,,03-28,20031016.0,14.125,13.925,-1.41592920354,26.2735849057,,13.997875
5,300059,东方财富,0.14,1270.0,1.55,9.38,1.95,16572.38,3213.59,,02-14,20100319.0,2.768,9.189,231.972543353,65.6357142857,5.92838709677,13.8533205419
24,002610,爱康科技,0.29,866.67,,5.73,,9201.68,988.58,,04-01,20110815.0,1.195,2.071,73.3054393305,7.14137931034,,13.4857659817
995,300171,东富龙,1.08,-15.63,8.2,13.52,0.17,33541.11,25.92,,04-25,20110201.0,10.97,11.182,1.93254329991,10.3537037037,1.36365853659,13.4123773585
2739,300158,振东制药,0.15,-43.96,6.8,2.15,0.25,4195.82,-43.31,,04-16,20110107.0,13.041,12.613,-3.28195690515,84.0866666667,1.85485294118,13.1963950934
