,Unnamed: 0,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend,net_profits_2016,profits_yoy_2016,percent_2016,net_profits_2015,profits_yoy_2015,percent_2015,net_profits_2014,profits_yoy_2014,percent_2014
67,487,300232,洲明科技,0.22,93.42,,8.1,,13633.49,108.05,,08-29,20110622,14.868,15.13,1.76217379607,68.7727272727,,61.3163129772,16645.3,46.57,-4.50867052023,11356.81,86.61,191.354790419,6085.89,84.58,36.2222788682
68,50,000528,柳工,0.22,1424.65,,2.73,,24358.78,1423.65,,08-29,19931118,7.222,8.9,23.2345610634,40.4545454545,,61.2729457688,4926.01,131.13,-10.4303609079,2131.28,-89.26,-33.4900602161,19852.0,-40.77,106.103366202
69,939,000021,深科技,0.21,41.31,,5.68,,30743.95,41.33,,08-25,19940202,9.376,9.44,0.682593856655,44.9523809524,,60.54845,21442.35,18.69,-21.3554772689,18066.03,2.84,68.4612123781,17567.64,-23.6,37.1245882581
70,171,000723,美锦能源,0.12,184.19,,7.01,,50190.78,412.0,,08-30,19970515,8.337,8.92,6.99292311383,74.3333333333,,58.9167066895,67965.91,-286.58,20.0950734659,-36427.42,-3940.28,61.8181818182,948.56,-74.27,20.6411698538
71,79,600160,巨化股份,0.25,822.22,,4.92,,52600.23,978.48,10派1,08-25,19980626,10.441,12.2,16.8470453022,48.8,,58.0802142125,15123.0,-6.52,-54.4578208148,16177.79,-0.45,263.212927757,16251.6,-35.91,26.3157894737
72,35,600010,包钢股份,0.01,1512.5,,1.24,,58765.41,2035.53,,08-24,20010309,1.997,2.7,35.2028042063,270.0,,57.8229503556,8503.37,-102.57,-22.7167182663,-330632.91,-1750.46,-11.5068493151,20032.75,-20.09,90.1041666667
73,286,300040,九洲电气,0.23,228.57,,4.2,,7659.69,226.45,,08-26,20100108,11.352,11.8,3.94644115574,51.3043478261,,57.3808125001,13051.44,549.36,-15.7988429016,2009.89,-136.07,70.982878884,-5572.32,-714.02,26.9726247987
74,144,600963,岳阳林纸,0.07,438.46,,1.35,,8135.05,496.61,,08-26,20040525,8.17,8.89,8.81272949816,127.0,,56.3514402778,2822.86,-107.24,-0.729040097205,-38997.67,-3035.16,56.1669829222,1328.64,-31.41,63.7154395775
75,211,002753,永东股份,0.43,187.22,,9.53,,9529.98,330.87,,08-25,20150519,21.042,22.34,6.16861515065,51.9534883721,,53.6376466872,7920.9,50.79,-2.28929649408,5253.04,-11.88,172.905842099,5961.12,18.88,
76,269,002463,沪电股份,0.06,200.0,,3.04,,10297.43,239.36,,08-22,20100818,4.727,4.94,4.50602919399,82.3333333333,,53.1199399061,13050.51,2256.55,-26.0018785222,553.8,-145.73,34.8532826684,-1210.92,-106.73,60.1419878296
