,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
85,002160,常铝股份,0.2,233.33,,6.29,,11841.88,453.43,10派0.2,04-25,20070821.0,6.255,12.914,106.458832934,64.57,,4.25920506081
721,002122,天马股份,0.04,33.33,,1.0,,4721.3,39.71,10派0.5,04-12,20070328.0,7.558,8.263,9.32786451442,206.575,,4.25713730497
1192,002507,涪陵榨菜,0.49,-25.76,,12.85,,15736.96,19.23,,03-31,20101123.0,7.343,7.679,4.5757864633,15.6714285714,,4.20255625
37,002036,联创电子,0.45,650.0,,17.44,,16189.85,1157.55,10派0.306862,04-27,20040903.0,8.095,30.683,279.036442248,68.1844444444,,4.14838288029
2913,600801,华新水泥,0.07,-91.46,,1.06,,10275.6,-91.59,10派0.5,03-31,19940103.0,10.269,7.993,-22.1637939429,114.185714286,,4.13241524605
210,000009,中国宝安,0.5,150.0,,19.7,,78901.06,160.12,10派0.7送2.5转1,04-29,19910625.0,9.508,13.212,38.956668069,26.424,,4.11020777538
1228,600633,浙数文化,0.51,16.73,,15.16,,61029.69,17.98,10派1.6,04-09,19930304.0,17.755,18.537,4.4043931287,36.3470588235,,4.08228772378
131,600704,物产中大,0.6,46.23,,9.54,,138453.8,285.15,10派2.5转3,04-26,19960606.0,4.964,8.461,70.4472199839,14.1016666667,,4.04771118101
32,300242,明家联合,0.26,420.0,,11.14,,5533.76,1250.15,,04-08,20110712.0,6.017,24.883,313.544955958,95.7038461538,,3.98714754055
2271,000786,北新建材,0.63,-65.13,,11.95,,89687.62,-18.87,10派1.75,03-19,19970606.0,12.102,11.525,-4.76780697405,18.2936507937,,3.95779445408
2792,600720,祁连山,0.23,-67.93,,3.72,,17922.39,-68.1,10派0.7,03-25,19960716.0,10.507,8.688,-17.3122680118,37.7739130435,,3.93362671798
161,600894,广日股份,2.49,206.88,,39.86,,214472.3,217.89,10派7.5,04-08,19960328.0,11.751,18.356,56.2079822994,7.3718875502,,3.87649566995
300,600077,宋都股份,0.06,100.0,,2.06,,7754.23,109.07,10派0.06,03-11,19970520.0,5.66,7.255,28.1802120141,120.916666667,,3.87044639499
55,600604,市北高新,0.2,566.67,,5.24,,13166.07,796.18,10派0.2,03-25,19920327.0,5.561,17.163,208.63154109,85.815,,3.81620149974
226,600725,ST云维,-4.22,148.24,,,,-260033.18,148.16,,04-29,19960702.0,2.51,3.49,39.0438247012,-0.827014218009,,3.79471020408
122,002130,沃尔核材,1.0,316.67,,34.69,,56987.33,316.98,,04-12,20070420.0,6.14,11.357,84.9674267101,11.357,,3.73060609546
2888,000157,中联重科,0.01,-87.5,,0.21,,8346.74,-85.95,10派1.5,03-31,20001012.0,6.553,5.005,-23.6227681978,500.5,,3.63843895348
289,600798,宁波海运,0.02,94.12,,0.67,,1604.71,116.69,10派0.1,03-29,19970423.0,5.135,6.787,32.1713729309,339.35,,3.62713771186
1358,000422,湖北宜化,0.04,11.43,,0.58,,3539.6,14.08,10派0.1,04-26,19960815.0,7.468,7.758,3.88323513658,193.95,,3.62584275862
2853,600123,兰花科创,0.01,-79.49,,0.14,,1372.55,-79.45,10派1,04-26,19981217.0,10.143,7.92,-21.916592724,792.0,,3.62510728746
193,300265,通光线缆,0.27,12.5,,11.05,,9048.01,180.64,,04-23,20110916.0,10.257,15.423,50.3656039778,57.1222222222,,3.5865746806
280,300006,莱美药业,0.1,100.0,,2.01,,2061.24,122.15,10派1,04-23,20091030.0,8.19,10.999,34.2979242979,109.99,,3.56144001424
2887,601808,中海油服,0.23,-85.35,,2.29,,107390.71,-85.67,,03-30,20070928.0,20.232,15.365,-24.0559509688,66.8043478261,,3.56128095335
2401,600597,光明乳业,0.34,-26.09,,9.34,,41833.0,-26.34,10派1.2,04-19,20020828.0,16.832,15.567,-7.51544676806,45.7852941176,,3.50478166008
313,600623,华谊集团,0.38,-1.3,,5.68,,70407.33,105.68,10派1.05,04-26,19921204.0,14.286,18.753,31.2683746325,49.35,,3.37977273338
2805,000553,沙隆达A,0.24,-71.16,,6.9,,14184.05,-71.16,,03-18,19931203.0,13.54,10.68,-21.1225997046,44.5,,3.3689034965
2903,600348,阳泉煤业,0.03,-90.91,,0.58,,8339.22,-89.47,,04-09,20030821.0,8.87,6.46,-27.1702367531,215.333333333,,3.29294149378
75,601890,亚星锚链,0.18,189.05,,6.19,,17718.09,492.89,,04-26,20101228.0,4.84,12.145,150.929752066,67.4722222222,,3.26569144422
2904,601699,潞安环能,0.03,-92.97,,0.57,,10301.95,-89.51,,04-28,20060922.0,8.755,6.347,-27.5042832667,211.566666667,,3.254402201
1691,000550,江铃汽车,2.57,5.33,,19.56,,222206.11,5.42,10派10.3,03-19,19931201.0,27.596,28.056,1.66690824757,10.9167315175,,3.25152869566
44,600666,奥瑞德,0.5,400.0,2.48,19.97,,30061.23,941.54,,03-11,19930712.0,7.535,29.525,291.838088918,59.05,11.9052419355,3.22624097317
