,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
319,601137,博威合金,0.23,109.09,,4.59,,14645.58,197.38,,08-22,20110127,12.962,12.99,0.216016046906,56.4782608696,,913.728414287
3343,300080,易成新能,-0.44,-12238.89,,-7.06,,-21970.63,-12129.75,,08-25,20100625,9.84,8.37,-14.9390243902,-19.0227272727,,811.950612247
557,300432,富临精工,0.42,35.48,,5.95,,21228.54,89.84,,08-29,20150319,24.107,24.14,0.136889700087,57.4761904762,,656.294812122
40,000930,中粮生化,0.23,1692.31,,13.39,,22423.48,1756.14,,08-28,19990712,13.44,13.85,3.0505952381,60.2173913043,,575.671258536
3338,600316,洪都航空,-0.08,-6492.31,,-0.56,,-5959.43,-6740.18,,08-31,20001215,19.646,17.26,-12.1449658964,-215.75,,554.977268565
773,300138,晨光生物,0.22,12.19,,5.06,,7851.59,53.87,,08-15,20101105,12.967,12.98,0.100254492172,59.0,,537.332530772
325,600463,空港股份,0.21,196.29,,4.36,,6221.94,189.02,,08-26,20040318,14.897,14.95,0.355776330805,71.1904761905,,531.288856604
5,002352,顺丰控股,0.45,800.0,,8.84,,188362.62,17045.24,,08-26,20100205,41.461,54.98,32.6065459106,122.177777778,,522.75515618
20,600497,驰宏锌锗,0.13,1304.44,,5.99,,54462.82,3148.5,,08-22,20040420,7.03,7.47,6.25889046942,57.4615384615,,503.044431818
294,002514,宝馨科技,0.07,250.0,,4.37,,4116.38,215.6,,08-05,20101203,9.29,9.33,0.43057050592,133.285714286,,500.731
7,600515,海航基础,0.27,1191.43,,3.09,,105962.43,11819.71,,08-31,20020806,11.6,14.4,24.1379310345,53.3333333333,,489.6737
3344,600193,创兴资源,-0.27,-13650.0,,-57.56,,-11523.06,-12578.01,,08-23,19990527,10.38,7.64,-26.3969171484,-28.2962962963,,476.495415328
113,000683,远兴能源,0.08,700.0,,3.85,,31900.94,691.49,,08-24,19970131,3.18,3.23,1.57232704403,40.375,,439.787639999
123,002316,键桥通讯,-0.1,929.0,,-4.83,,-4045.39,603.68,,08-24,20091209,13.65,13.85,1.4652014652,-138.5,,412.0116
37,002683,宏大爆破,0.11,1690.62,,2.78,,8041.46,1902.37,,08-24,20120612,8.84,9.28,4.97737556561,84.3636363636,,382.203427273
191,002097,山河智能,0.11,376.07,,3.35,,8413.94,376.97,,08-18,20061222,8.85,8.94,1.01694915254,81.2727272727,,370.687166668
3337,000043,中航地产,-0.21,-4314.0,,-3.61,,-14052.57,-4279.52,,08-12,19940928,12.172,10.6,-12.914886625,-50.4761904762,,331.363342495
3307,002336,人人乐,-0.34,-925.74,,-6.02,,-13474.86,-925.31,,08-18,20100113,13.29,12.91,-2.85929270128,-37.9705882353,,323.614997368
3302,600793,宜宾纸业,1.25,-701.25,,110.68,,13194.31,-701.22,,08-19,19970220,31.24,30.56,-2.17669654289,24.448,,322.148717648
30,603318,派思股份,0.07,2233.33,,5.39,,2581.81,2296.28,,08-18,20150424,13.798,14.81,7.33439628932,211.571428571,,313.083709881
135,000735,罗牛山,0.11,466.0,,3.73,,13039.98,542.7,10派0.2,08-26,19970611,7.16,7.29,1.8156424581,66.2727272727,,298.902461539
1225,600380,健康元,0.2,25.03,,5.9,,32706.86,27.07,,08-28,20010608,9.761,9.77,0.092203667657,48.85,,293.589188889
12,000960,锡业股份,0.24,5700.0,,4.45,,35853.01,5676.33,,08-31,20000221,13.12,15.7,19.6646341463,65.4166666667,,288.656781396
51,600067,冠城大通,0.34,1600.0,,7.26,,51123.9,1392.93,,08-25,19970508,7.05,7.4,4.96453900709,21.7647058824,,280.5759
83,600862,中航高科,0.15,1400.0,,6.12,,21412.34,938.83,,08-25,19940520,12.24,12.67,3.51307189542,84.4666666667,,267.239051163
18,300227,光韵达,0.09,3155.17,,2.95,,1413.72,3362.64,,08-19,20110608,24.888,28.21,13.3477981356,313.444444444,,251.92469693
117,600638,新黄浦,1.1,666.09,,15.62,,61860.6,666.02,,08-30,19930326,17.595,18.07,2.69963057687,16.4272727273,,246.707829474
3191,002147,新光圆成,0.03,-187.67,,0.5,,3704.1,-202.22,10派5转3,08-22,20070808,13.162,13.05,-0.850934508433,435.0,,237.644610714
3330,000617,中油资本,0.4,-174.07,,5.32,,358889.67,-2390.24,,08-28,19961022,18.75,16.85,-10.1333333333,42.125,,235.878947369
1479,603766,隆鑫通用,0.24,-53.47,,8.0,,50114.95,17.35,,08-03,20120810,8.104,8.11,0.0740375123396,33.7916666667,,234.340666667
3283,002564,天沃科技,0.12,-481.99,,3.58,,9058.57,-480.68,,08-11,20110310,10.0,9.79,-2.1,81.5833333333,,228.895238095
