,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
207,002615,哈尔斯,0.44,120.0,,17.21,,11914.52,220.3,,04-27,20110909.0,10.584,11.55,9.12698412698,26.25,,24.1372173913
165,300062,中能电气,0.51,292.31,,9.77,,7843.58,285.32,,03-31,20100319.0,14.581,16.338,12.0499279885,32.0352941176,,23.6781498008
39,600531,豫光金铅,0.2,400.0,,12.16,,17642.22,1310.77,10派0.5,04-12,20020730.0,5.464,8.523,55.9846266471,42.615,,23.4130345865
3269,000593,大通燃气,-0.17,-438.0,,-6.36,,-5508.43,-490.82,,04-29,19960312.0,14.33,11.28,-21.2840195394,-66.3529411765,,23.0604937705
3229,000037,深南电A,2.17,-306.67,,101.34,,130669.48,-305.9,,03-28,19940701.0,12.93,11.21,-13.3023975251,5.16589861751,,22.9958546512
521,002452,长高集团,0.23,76.15,,9.58,,12055.62,76.98,,04-18,20100720.0,9.028,9.332,3.36730172796,40.5739130435,,22.8610342105
152,300121,阳谷华泰,0.56,300.0,,27.24,,15677.84,298.8,,02-24,20100917.0,15.93,18.102,13.6346516008,32.325,,21.9147513811
3021,600882,广泽股份,0.08,-111.59,,1.68,,3221.01,-111.72,,03-17,19951206.0,11.33,10.74,-5.20741394528,134.25,,21.4540271186
237,600449,宁夏建材,0.12,201.5,,1.38,,5764.99,189.76,10派0.4,03-16,20030829.0,11.126,12.119,8.9250404458,100.991666667,,21.2615282981
36,002676,顺威股份,0.08,700.0,,2.88,,3079.67,1350.49,,04-25,20120525.0,9.12,14.935,63.7609649123,186.6875,,21.1805138435
3281,600088,中视传媒,-0.38,-570.0,,-11.51,,-12477.78,-573.0,10派0.25,04-28,19970616.0,30.047,21.894,-27.1341564882,-57.6157894737,,21.117295474
707,600856,中天能源,0.38,-33.33,,20.8,,43484.17,53.03,,04-22,19940425.0,13.458,13.8,2.5412394115,36.3157894737,,20.8677701755
3061,002109,兴化股份,0.04,-110.65,,0.73,,2808.24,-120.86,,03-13,20070126.0,8.54,8.04,-5.85480093677,201.0,,20.642888
919,300185,通裕重工,0.05,-61.54,,3.77,,16621.43,37.79,10派0.4,04-26,20110308.0,2.989,3.044,1.84008029441,60.88,,20.5371472728
3076,002629,仁智股份,0.06,-125.0,,3.71,,2452.35,-124.97,,03-31,20111103.0,13.97,13.11,-6.15604867573,218.5,,20.3003593023
3179,600800,天津磁卡,0.03,-175.0,,17.84,,1936.35,-188.66,,04-27,19931206.0,11.39,10.33,-9.30640913082,344.333333333,,20.2720509434
